time,step,quantity,kperp,value
0.0,0,u_perp,0.5,0.0
0.0,0,u_perp,1.5,0.0
0.0,0,u_perp,2.5,0.0
0.0,0,u_perp,3.5,0.0
0.0,0,u_perp,4.5,0.0
0.0,0,u_perp,5.5,0.0
0.0,0,u_perp,6.5,0.0
0.0,0,u_perp,7.5,0.0
0.0,0,u_perp,8.5,0.0
0.0,0,u_perp,9.5,0.0
0.0,0,u_perp,10.5,0.0
0.0,0,u_perp,11.5,0.0
0.0,0,b_perp,0.5,0.0
0.0,0,b_perp,1.5,0.0
0.0,0,b_perp,2.5,0.0
0.0,0,b_perp,3.5,0.0
0.0,0,b_perp,4.5,0.0
0.0,0,b_perp,5.5,0.0
0.0,0,b_perp,6.5,0.0
0.0,0,b_perp,7.5,0.0
0.0,0,b_perp,8.5,0.0
0.0,0,b_perp,9.5,0.0
0.0,0,b_perp,10.5,0.0
0.0,0,b_perp,11.5,0.0
0.0,0,upar,0.5,0.0
0.0,0,upar,1.5,0.0
0.0,0,upar,2.5,0.0
0.0,0,upar,3.5,0.0
0.0,0,upar,4.5,0.0
0.0,0,upar,5.5,0.0
0.0,0,upar,6.5,0.0
0.0,0,upar,7.5,0.0
0.0,0,upar,8.5,0.0
0.0,0,upar,9.5,0.0
0.0,0,upar,10.5,0.0
0.0,0,upar,11.5,0.0
0.0,0,dbpar,0.5,0.0
0.0,0,dbpar,1.5,0.0
0.0,0,dbpar,2.5,0.0
0.0,0,dbpar,3.5,0.0
0.0,0,dbpar,4.5,0.0
0.0,0,dbpar,5.5,0.0
0.0,0,dbpar,6.5,0.0
0.0,0,dbpar,7.5,0.0
0.0,0,dbpar,8.5,0.0
0.0,0,dbpar,9.5,0.0
0.0,0,dbpar,10.5,0.0
0.0,0,dbpar,11.5,0.0
0.0,0,s,0.5,0.0
0.0,0,s,1.5,0.0
0.0,0,s,2.5,0.0
0.0,0,s,3.5,0.0
0.0,0,s,4.5,0.0
0.0,0,s,5.5,0.0
0.0,0,s,6.5,0.0
0.0,0,s,7.5,0.0
0.0,0,s,8.5,0.0
0.0,0,s,9.5,0.0
0.0,0,s,10.5,0.0
0.0,0,s,11.5,0.0
1.0050000000000008,67,u_perp,0.5,0.0
1.0050000000000008,67,u_perp,1.5,0.1192404331791108
1.0050000000000008,67,u_perp,2.5,0.29142731645367764
1.0050000000000008,67,u_perp,3.5,0.04313120158212875
1.0050000000000008,67,u_perp,4.5,0.014811061869485356
1.0050000000000008,67,u_perp,5.5,0.01591218950480432
1.0050000000000008,67,u_perp,6.5,0.0017410727239166408
1.0050000000000008,67,u_perp,7.5,0.0006325363183286282
1.0050000000000008,67,u_perp,8.5,0.0
1.0050000000000008,67,u_perp,9.5,0.0
1.0050000000000008,67,u_perp,10.5,0.0
1.0050000000000008,67,u_perp,11.5,0.0
1.0050000000000008,67,b_perp,0.5,0.0
1.0050000000000008,67,b_perp,1.5,0.263554586644463
1.0050000000000008,67,b_perp,2.5,0.8079641114573735
1.0050000000000008,67,b_perp,3.5,0.1119807076638298
1.0050000000000008,67,b_perp,4.5,0.04778388410798174
1.0050000000000008,67,b_perp,5.5,0.02998217509038571
1.0050000000000008,67,b_perp,6.5,0.003041913482003561
